epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.39,2.44016,2.95942,2.19565,0.12182,0.19887,0.05584,0.01607,0.41928,42.0926,0.39676,0.00053344,0.00053344,0.00053344
2,741.43,2.40904,4.11395,2.1255,0.16599,0.07889,0.06718,0.02599,0.43106,2.50998,0.41805,0.0010621,0.0010621,0.0010621
3,1114.38,2.41803,2.99402,2.19243,0.11475,0.07862,0.06246,0.02056,0.41948,14.998,0.41474,0.00156897,0.00156897,0.00156897
4,1480.92,2.51186,3.04584,2.19653,0.11866,0.15651,0.05809,0.01733,0.4134,31.8865,0.41085,0.00156798,0.00156798,0.00156798
5,1846.41,2.42688,2.81811,2.14898,0.05366,0.13712,0.03153,0.00922,0.43083,34.7782,0.4219,0.00153497,0.00153497,0.00153497
6,2218.56,2.37538,2.92246,2.13253,0.06948,0.14611,0.08404,0.02826,0.44305,3.80518,0.42873,0.00150197,0.00150197,0.00150197
7,2588.62,2.41196,3.24629,2.26702,0.03704,0.3693,0.05089,0.0157,0.42287,5.25707,0.42218,0.00146896,0.00146896,0.00146896
8,2961.28,2.46178,3.25713,2.23355,0.11535,0.28183,0.06293,0.02142,0.44104,3.82,0.43553,0.00143595,0.00143595,0.00143595
9,3334.4,2.52172,3.02365,2.22156,0.19808,0.1547,0.06239,0.02492,0.41987,6.06672,0.41747,0.00140295,0.00140295,0.00140295
10,3706.23,2.50741,2.83375,2.27372,0.10876,0.09801,0.06468,0.02038,0.43346,3.85893,0.42557,0.00136994,0.00136994,0.00136994
11,4075.4,2.40946,3.01822,2.29441,0.06894,0.09873,0.06979,0.0205,0.42273,5.28507,0.41699,0.00133693,0.00133693,0.00133693
12,4446.43,2.39763,2.84221,2.24575,0.12416,0.18689,0.06635,0.01902,0.41694,6.42817,0.41746,0.00130393,0.00130393,0.00130393
13,4816.95,2.43321,2.86041,2.20505,0.17464,0.10393,0.09177,0.02779,0.41125,6.10519,0.41003,0.00127092,0.00127092,0.00127092
14,5187.81,2.33855,3.35301,2.1607,0.16942,0.16157,0.08966,0.02789,0.41921,13.2773,0.42848,0.00123791,0.00123791,0.00123791
15,5558.28,2.30459,3.49536,2.16543,0.1427,0.1561,0.11318,0.03728,0.3983,8.13924,0.39533,0.00120491,0.00120491,0.00120491
16,5930.83,2.36253,2.92694,2.15729,0.29213,0.15104,0.11385,0.04798,0.40324,3.22316,0.39703,0.0011719,0.0011719,0.0011719
17,6300.65,2.29136,2.98415,2.04968,0.27299,0.19575,0.15796,0.04807,0.4112,4.24393,0.40853,0.00113889,0.00113889,0.00113889
18,6662.09,2.26343,3.1153,2.11222,0.27199,0.1355,0.11187,0.04183,0.38576,4.78394,0.39635,0.00110589,0.00110589,0.00110589
19,7025.33,2.2913,2.71178,2.14725,0.5718,0.16329,0.11406,0.04734,0.38635,19.5858,0.40325,0.00107288,0.00107288,0.00107288
20,7389.41,2.32209,2.8965,2.16303,0.0528,0.35863,0.05716,0.01861,0.40715,2.46669,0.39375,0.00103987,0.00103987,0.00103987
21,7757.17,2.35865,2.81718,2.09485,0.13957,0.30574,0.11775,0.03515,0.39929,5.23698,0.37978,0.00100687,0.00100687,0.00100687
22,8126.25,2.27837,2.8162,2.0594,0.16598,0.24708,0.1116,0.03757,0.40503,4.82546,0.39915,0.000973861,0.000973861,0.000973861
23,8493.83,2.30269,2.77574,2.01979,0.35416,0.20448,0.1816,0.06637,0.38589,5.12637,0.38239,0.000940855,0.000940855,0.000940855
24,8861.76,2.16746,3.20285,1.90296,0.35962,0.21483,0.14389,0.05519,0.38761,4.80552,0.38634,0.000907848,0.000907848,0.000907848
25,9232.23,2.28664,3.06664,2.05629,0.11692,0.36804,0.13908,0.05468,0.3873,2.31429,0.38343,0.000874842,0.000874842,0.000874842
26,9603.07,2.32149,2.75148,2.07576,0.20852,0.2222,0.16287,0.06055,0.37581,10.4373,0.37664,0.000841835,0.000841835,0.000841835
27,9972.82,2.25039,2.72868,2.05993,0.20559,0.28097,0.21832,0.08038,0.37435,3.16252,0.3754,0.000808828,0.000808828,0.000808828
28,10343.5,2.29628,2.7605,2.07199,0.25453,0.25978,0.13429,0.04482,0.38471,1.48909,0.37738,0.000775822,0.000775822,0.000775822
29,10713.6,2.25351,2.78074,2.07154,0.25602,0.2485,0.17931,0.06757,0.37354,2.87581,0.37092,0.000742815,0.000742815,0.000742815
30,11089.4,2.28182,2.67265,2.06908,0.245,0.28716,0.19895,0.07262,0.36531,10.5482,0.36986,0.000709809,0.000709809,0.000709809
31,11464.1,2.27975,2.56836,2.12277,0.33404,0.26017,0.1975,0.08021,0.37776,1.9244,0.38513,0.000676802,0.000676802,0.000676802
32,11829.6,2.24409,2.558,2.06842,0.26564,0.22798,0.19283,0.07232,0.36794,2.65935,0.36126,0.000643795,0.000643795,0.000643795
33,12217.5,2.2011,2.4962,1.99235,0.43659,0.29675,0.26619,0.1157,0.37332,3.65336,0.36605,0.000610789,0.000610789,0.000610789
34,12592.7,2.10522,2.68439,1.91203,0.35117,0.30348,0.23656,0.08652,0.37045,4.00223,0.3711,0.000577782,0.000577782,0.000577782
35,13003.8,2.22459,2.50786,1.98867,0.25358,0.27197,0.20248,0.08101,0.3681,6.41413,0.36401,0.000544776,0.000544776,0.000544776
36,13402.1,2.13133,2.70607,1.94606,0.37494,0.25543,0.27574,0.11477,0.36907,2.36703,0.36807,0.000511769,0.000511769,0.000511769
37,13788.7,2.1572,2.46823,1.95656,0.25102,0.24991,0.21501,0.08938,0.3582,2.35121,0.35664,0.000478762,0.000478762,0.000478762
38,14207.2,2.16857,2.41504,1.95569,0.39799,0.30427,0.31079,0.12561,0.362,2.58616,0.36166,0.000445756,0.000445756,0.000445756
39,14607.9,2.22248,2.5918,2.07676,0.32357,0.29104,0.31091,0.12737,0.34974,2.88856,0.35316,0.000412749,0.000412749,0.000412749
40,14996.3,2.17325,2.42498,1.94861,0.36995,0.3354,0.29558,0.12362,0.35488,2.18916,0.35224,0.000379743,0.000379743,0.000379743
41,15376.1,1.67013,3.40051,1.65502,0.45925,0.27857,0.27879,0.12014,0.37502,1.78546,0.37082,0.000346736,0.000346736,0.000346736
42,15762.2,1.96006,2.63834,1.94791,0.37769,0.36492,0.30393,0.12614,0.36402,4.66412,0.3635,0.000313729,0.000313729,0.000313729
43,16146.9,1.81149,2.51419,1.78802,0.33449,0.36478,0.29713,0.12882,0.34937,3.44891,0.35478,0.000280723,0.000280723,0.000280723
44,16528.1,1.87766,2.41543,1.79413,0.29106,0.2459,0.27412,0.12478,0.35545,1.58823,0.36549,0.000247716,0.000247716,0.000247716
45,16910,1.77961,2.34749,1.75582,0.38682,0.38264,0.33073,0.14066,0.35129,1.68985,0.35647,0.00021471,0.00021471,0.00021471
46,17291.7,1.88365,2.24128,1.78528,0.32437,0.44354,0.33468,0.14797,0.3488,2.0019,0.35025,0.000181703,0.000181703,0.000181703
47,17683.4,1.94239,2.31898,1.82478,0.3466,0.37364,0.32395,0.14024,0.34719,1.47127,0.349,0.000148696,0.000148696,0.000148696
48,18096.5,1.60809,2.11058,1.55091,0.3366,0.37997,0.34576,0.14931,0.34483,1.39315,0.34699,0.00011569,0.00011569,0.00011569
49,18476.8,1.73871,2.13131,1.66222,0.33645,0.38377,0.3404,0.14463,0.34444,1.3413,0.34685,8.26832e-05,8.26832e-05,8.26832e-05
50,18878.6,1.82937,2.12997,1.72205,0.33448,0.39263,0.34426,0.14723,0.34301,1.30732,0.3458,4.96766e-05,4.96766e-05,4.96766e-05
